;; This is a kahuna data file for the year 2085
;; Comments are indicated by the two semicolons
;; The key of boundaries is К (next year will be Г)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	14	225	134	223	13	13
8	15	226	135	222	13	13
8	16	227	136	221	13	13
8	17	228	137	220	13	13
8	18	229	138	219	13	13
8	19	230	139	218	13	13
8	20	231	140	217	13	13
8	21	232	141	216	14	14
8	22	233	142	215	14	14
8	23	234	143	214	14	14
8	24	235	144	213	14	14
8	25	236	145	212	14	14
8	26	237	146	211	14	14
8	27	238	147	210	14	14
8	28	239	148	209	15	15
8	29	240	149	208	15	15
8	30	241	150	207	15	15
8	31	242	151	206	15	15
9	1	243	152	205	15	15
9	2	244	153	204	15	15
9	3	245	154	203	15	15
9	4	246	155	202	16	16
9	5	247	156	201	16	16
9	6	248	157	200	16	16
9	7	249	158	199	16	16
9	8	250	159	198	16	16
9	9	251	160	197	16	16
9	10	252	161	196	16	16
9	11	253	162	195	17	17
9	12	254	163	194	17	17
9	13	255	164	193	17	17
9	14	256	165	192	17	17
9	15	257	166	191	17	17
9	16	258	167	190	17	17
9	17	259	168	189	17	17
9	18	260	169	188	18	18
9	19	261	170	187	18	18
9	20	262	171	186	18	18
9	21	263	172	185	18	18
9	22	264	173	184	18	18
9	23	265	174	183	18	18
9	24	266	175	182	18	18
9	25	267	176	181	19	19
9	26	268	177	180	19	19
9	27	269	178	179	19	19
9	28	270	179	178	19	19
9	29	271	180	177	19	19
9	30	272	181	176	19	19
10	1	273	182	175	19	19
10	2	274	183	174	20	20
10	3	275	184	173	20	20
10	4	276	185	172	20	20
10	5	277	186	171	20	20
10	6	278	187	170	20	20
10	7	279	188	169	20	20
10	8	280	189	168	20	20
10	9	281	190	167	21	21
10	10	282	191	166	21	21
10	11	283	192	165	21	21
10	12	284	193	164	21	21
10	13	285	194	163	21	21
10	14	286	195	162	21	21
10	15	287	196	161	21	21
10	16	288	197	160	22	22
10	17	289	198	159	22	22
10	18	290	199	158	22	22
10	19	291	200	157	22	22
10	20	292	201	156	22	22
10	21	293	202	155	22	22
10	22	294	203	154	22	22
10	23	295	204	153	23	23
10	24	296	205	152	23	23
10	25	297	206	151	23	23
10	26	298	207	150	23	23
10	27	299	208	149	23	23
10	28	300	209	148	23	23
10	29	301	210	147	23	23
10	30	302	211	146	24	24
10	31	303	212	145	24	24
11	1	304	213	144	24	24
11	2	305	214	143	24	24
11	3	306	215	142	24	24
11	4	307	216	141	24	24
11	5	308	217	140	24	24
11	6	309	218	139	25	25
11	7	310	219	138	25	25
11	8	311	220	137	25	25
11	9	312	221	136	25	25
11	10	313	222	135	25	25
11	11	314	223	134	25	25
11	12	315	224	133	25	25
11	13	316	225	132	26	26
11	14	317	226	131	26	26
11	15	318	227	130	26	26
11	16	319	228	129	26	26
11	17	320	229	128	26	26
11	18	321	230	127	31	26
11	19	322	231	126	26	26
11	20	323	232	125	27	27
11	21	324	233	124	27	27
11	22	325	234	123	27	27
11	23	326	235	122	27	27
11	24	327	236	121	27	27
11	25	328	237	120	27	27
11	26	329	238	119	27	27
11	27	330	239	118	28	28
11	28	331	240	117	28	28
11	29	332	241	116	28	28
11	30	333	242	115	28	28
12	1	334	243	114	28	28
12	2	335	244	113	28	28
12	3	336	245	112	28	30
12	4	337	246	111	29	29
12	5	338	247	110	29	29
12	6	339	248	109	29	29
12	7	340	249	108	29	29
12	8	341	250	107	29	29
12	9	342	251	106	29	31
12	10	343	252	105	30	29
12	11	344	253	104	30	30
12	12	345	254	103	30	30
12	13	346	255	102	30	30
12	14	347	256	101	30	30
12	15	348	257	100	30	30
12	16	349	258	99	30	30
12	17	350	259	98	29	28
12	18	351	260	97	31	31
12	19	352	261	96	31	31
12	20	353	262	95	31	31
12	21	354	263	94	31	31
12	22	355	264	93	31	31
12	23	356	265	92	26	29
12	24	357	266	91	
12	25	358	267	90	32	32
12	26	359	268	89	32	32
12	27	360	269	88	32	32
12	28	361	270	87	32	32
12	29	362	271	86	32	32
12	30	363	272	85	32	32
12	31	364	273	84	31	31
1	1	0	274	83	33	33
1	2	1	275	82	33	33
1	3	2	276	81	33	33
1	4	3	277	80	33	33
1	5	4	278	79	33	33
1	6	5	279	78	
1	7	6	280	77	32	32
1	8	7	281	76	33	33
1	9	8	282	75	33	33
1	10	9	283	74	33	33
1	11	10	284	73	33	33
1	12	11	285	72	33	33
1	13	12	286	71	33	33
